Entry #,Movie Title,Year,Cast and Crew,URL
98,Blade Runner: The Final Cut,1982,"['Harrison Ford', 'Ridley Scott', 'Philip K. Dick', 'Sean Young']",https://www.rogerebert.com/reviews/great-movie-blade-runner-the-final-cut-1982
99,Sansho the Bailiff,1954,['Kenji Mizoguchi'],https://www.rogerebert.com/reviews/great-movie-sansho-the-bailiff-1954
100,El Topo,1970,"['John Lennon', 'Allen Klein', 'Fernando Arrabal']",https://www.rogerebert.com/reviews/great-movie-el-topo-1970
101,The Great Dictator,1940,"['Charlie Chaplin', 'Ernst Lubitsch', 'Paulette Goddard', 'Jack Oakie']",https://www.rogerebert.com/reviews/great-movie-the-great-dictator-1940
102,Babel,2006,"['Alejandro Gonzalez Inarritu', 'Cate Blanchett', 'Brad Pitt', 'Adriana Barraza', 'Gael Garcia', 'Del Toro', 'Alfonso Cuaron']",https://www.rogerebert.com/reviews/babel-2006
103,Werckmeister Harmonies,2000,"['Bela Tarr', 'Jim Jarmusch', 'Hanna Schygulla', 'Peter Fitz', 'Frederick Wiseman']",https://www.rogerebert.com/reviews/werckmeister-harmonies-2000
104,Pan's Labyrinth,2006,"['Sergi Lopez', 'Ariadna Gil', 'Ivana Baquero', 'Maribel Verdu', 'Del Toro', 'Doug Jones', 'Alfonso Cuaron', 'Alejandro Gonzalez Inarritu', 'Ethan Hawke', 'Gwyneth Paltrow', 'Anne Bancroft']",https://www.rogerebert.com/reviews/great-movie-pans-labyrinth-2006
105,Ace in the Hole,1951,"['Kirk Douglas', 'Richard Benedict', 'Charles Lang']",https://www.rogerebert.com/reviews/great-movie-ace-in-the-hole-1951
106,Killer of Sheep,1977,"['Charles Burnett', 'Henry Gayle Sanders', 'Kaycee Moore', 'David Gordon Green', 'Oprah Winfrey', 'Halle Berry']",https://www.rogerebert.com/reviews/great-movie-killer-of-sheep-1977
107,WR: Mysteries of the Organism,1971,"['Andrei Tarkovsky', 'Guy Maddin', 'Russ Meyer', 'Alejandro Jodorowsky', 'Susan Anspach', 'Eric Roberts', 'Jackie Curtis', 'Tuli Kupferberg', 'Milena Dravic', 'Ivica Vidovic', 'Greta Scacchi']",https://www.rogerebert.com/reviews/great-movie-wr-mysteries-of-the-organism-1971
108,Moolaade,2007,"['Ousmane Sembene', 'Fatoumata Coulibaly']",https://www.rogerebert.com/reviews/great-movie-moolaade-2007
109,Cabiria,1914,"['Martin Scorsese', 'Cecil B. DeMille', 'Paul Auster', 'Buster Keaton']",https://www.rogerebert.com/reviews/great-movie-cabiria-1914
110,The Shining,1980,"['Jack Nicholson', 'Shelley Duvall', 'Scatman Crothers']",https://www.rogerebert.com/reviews/great-movie-the-shining-1980
111,Chimes at Midnight,1965,"['Orson Welles', 'Keith Baxter', 'Joseph Cotten', 'Mel Gibson', 'Margaret Rutherford', 'Jeanne Moreau', 'Fernando Rey', 'Norman Rodway']",https://www.rogerebert.com/reviews/great-movie-chimes-at-midnight-1965
112,Army of Shadows,1969,"['Alain Delon', 'Paul Meurisse', 'Lino Ventura', 'Simone Signoret', 'Jean-Pierre Cassel', 'Claude Mann', 'Paul Crauchet', 'Joseph Kessel']",https://www.rogerebert.com/reviews/great-movie-army-of-shadows-1969
113,Au revoir les enfants,1987,"['Louis Malle', 'Gaspard Manesse', 'Raphael Fejto', 'Irene Jacob', 'Jeanne Moreau', 'Candice Bergen']",https://www.rogerebert.com/reviews/great-movie-au-revoir-les-enfants-1987
114,The Long Goodbye,1973,"['Robert Altman', 'Raymond Chandler', 'Leigh Brackett', 'William Faulkner', 'Nina Van Pallandt', 'Sterling Hayden', 'Elliott Gould', 'Mark Rydell', 'Humphrey Bogart', 'James Caan', 'James Garner', 'Robert Mitchum', 'Vilmos Zsigmond', 'Dave Grusin', 'Martin Scorsese']",https://www.rogerebert.com/reviews/great-movie-the-long-goodbye-1973
115,Ripley's Game,2002,"['Patricia Highsmith', 'Liliana Cavani', 'Alain Delon', 'Dennis Hopper', 'Matt Damon', 'John Malkovich', 'Barry Pepper', 'Chiara Caselli', 'Charlotte Rampling', 'Dirk Bogarde', 'Dougray Scott', 'Ray Winstone', 'Lena Headey']",https://www.rogerebert.com/reviews/great-movie-ripleys-game-2002
116,Night Moves,1975,"['Gene Hackman', 'Janet Ward', 'Susan Clark', 'Harris Yulin', 'James Woods', 'Anthony Costello', 'Melanie Griffith', 'Jennifer Warren', 'Alan Sharp']",https://www.rogerebert.com/reviews/great-movie-night-moves-1975
117,Cat People,1942,"['Jacques Tourneur', 'Oliver Reed', 'Kent Smith', 'DeWitt Bodeen', 'Jane Randolph', 'Tom Conway', 'Vincent Price', 'David O. Selznick', 'Mark Robson', 'Robert Wise', 'Bertrand Tavernier', 'Paul Schrader']",https://www.rogerebert.com/reviews/great-movie-cat-people-1942
118,Samurai Rebellion,1967,"['Toshiro Mifune', 'Tatsuya Nakadai', 'Masaki Kobayashi', 'Yoko Tsukasa', 'Go Kato']",https://www.rogerebert.com/reviews/great-movie-samurai-rebellion-1967
119,The River (Le Fleuve),1951,"['Jean Renoir', 'Rumer Godden', 'Patricia Walters', 'Thomas E. Breen', 'Arthur Shields', 'Adrienne Corri', 'Martin Scorsese', 'Claude Renoir', 'Satyajit Ray']",https://www.rogerebert.com/reviews/great-movie-the-river-le-fleuve-1951
120,Inherit the Wind,1960,"['Stanley Kramer', 'Spencer Tracy', 'Matthew Harrison', 'Fredric March', 'Gene Kelly', 'Harry Morgan', 'Claude Akins']",https://www.rogerebert.com/reviews/great-movie-inherit-the-wind-1960
121,My Fair Lady,1964,"['Alan Jay Lerner', 'Rex Harrison', 'Audrey Hepburn', 'Julie Andrews', 'Jack L. Warner', 'Elizabeth Taylor', 'Deborah Kerr', 'Natalie Wood', 'Robert Harris', 'Gladys Cooper', 'Harry Stradling', 'Wilfred Hyde-White', 'Stanley Holloway']",https://www.rogerebert.com/reviews/great-movie-my-fair-lady-1964
